Epoch: [0][0/14820], lr: 0.00100	Time 10.867 (10.867)	Data 7.868 (7.868)	Loss 3.2967 (3.2967)	Prec@1 12.500 (12.500)	Prec@5 12.500 (12.500)
Epoch: [0][20/14820], lr: 0.00100	Time 0.241 (0.793)	Data 0.000 (0.375)	Loss 3.2145 (3.3060)	Prec@1 12.500 (7.738)	Prec@5 62.500 (20.833)
Epoch: [0][40/14820], lr: 0.00100	Time 0.225 (0.522)	Data 0.000 (0.192)	Loss 3.1756 (3.2882)	Prec@1 0.000 (8.841)	Prec@5 37.500 (23.780)
Epoch: [0][60/14820], lr: 0.00100	Time 0.215 (0.425)	Data 0.000 (0.129)	Loss 3.2511 (3.2905)	Prec@1 12.500 (8.402)	Prec@5 37.500 (24.180)
Epoch: [0][80/14820], lr: 0.00100	Time 0.234 (0.379)	Data 0.000 (0.097)	Loss 3.2337 (3.2905)	Prec@1 25.000 (8.179)	Prec@5 37.500 (24.383)
Epoch: [0][100/14820], lr: 0.00100	Time 0.234 (0.351)	Data 0.000 (0.078)	Loss 3.2258 (3.2901)	Prec@1 12.500 (8.663)	Prec@5 25.000 (24.876)
Epoch: [0][120/14820], lr: 0.00100	Time 0.221 (0.332)	Data 0.000 (0.065)	Loss 3.2892 (3.2930)	Prec@1 0.000 (7.955)	Prec@5 37.500 (23.864)
Epoch: [0][140/14820], lr: 0.00100	Time 0.248 (0.317)	Data 0.000 (0.056)	Loss 3.2949 (3.2937)	Prec@1 0.000 (8.245)	Prec@5 12.500 (22.961)
Epoch: [0][160/14820], lr: 0.00100	Time 0.249 (0.307)	Data 0.000 (0.049)	Loss 3.1635 (3.2896)	Prec@1 25.000 (8.463)	Prec@5 37.500 (23.370)
Epoch: [0][180/14820], lr: 0.00100	Time 0.218 (0.298)	Data 0.000 (0.044)	Loss 3.2784 (3.2895)	Prec@1 12.500 (8.425)	Prec@5 12.500 (23.204)
Epoch: [0][200/14820], lr: 0.00100	Time 0.248 (0.291)	Data 0.000 (0.039)	Loss 3.3035 (3.2918)	Prec@1 0.000 (8.022)	Prec@5 12.500 (22.823)
Epoch: [0][220/14820], lr: 0.00100	Time 0.222 (0.285)	Data 0.000 (0.036)	Loss 3.2744 (3.2927)	Prec@1 12.500 (7.919)	Prec@5 25.000 (22.624)
Epoch: [0][240/14820], lr: 0.00100	Time 0.219 (0.280)	Data 0.001 (0.033)	Loss 3.3074 (3.2929)	Prec@1 0.000 (7.676)	Prec@5 12.500 (22.303)
Epoch: [0][260/14820], lr: 0.00100	Time 0.223 (0.275)	Data 0.001 (0.030)	Loss 3.2518 (3.2923)	Prec@1 12.500 (7.759)	Prec@5 50.000 (22.270)
Epoch: [0][280/14820], lr: 0.00100	Time 0.222 (0.271)	Data 0.000 (0.028)	Loss 3.2357 (3.2925)	Prec@1 12.500 (7.518)	Prec@5 50.000 (21.931)
Epoch: [0][300/14820], lr: 0.00100	Time 0.218 (0.268)	Data 0.000 (0.026)	Loss 3.3039 (3.2918)	Prec@1 0.000 (7.309)	Prec@5 12.500 (22.010)
Epoch: [0][320/14820], lr: 0.00100	Time 0.221 (0.265)	Data 0.000 (0.025)	Loss 3.3061 (3.2923)	Prec@1 0.000 (7.477)	Prec@5 12.500 (22.196)
Epoch: [0][340/14820], lr: 0.00100	Time 0.221 (0.262)	Data 0.000 (0.023)	Loss 3.3029 (3.2921)	Prec@1 0.000 (7.368)	Prec@5 25.000 (22.177)
Epoch: [0][360/14820], lr: 0.00100	Time 0.231 (0.260)	Data 0.000 (0.022)	Loss 3.1579 (3.2918)	Prec@1 12.500 (7.237)	Prec@5 37.500 (22.057)
Epoch: [0][380/14820], lr: 0.00100	Time 0.226 (0.259)	Data 0.000 (0.021)	Loss 3.4258 (3.2909)	Prec@1 0.000 (7.448)	Prec@5 0.000 (22.047)
Epoch: [0][400/14820], lr: 0.00100	Time 0.223 (0.257)	Data 0.000 (0.020)	Loss 3.4345 (3.2908)	Prec@1 0.000 (7.544)	Prec@5 0.000 (21.976)
Epoch: [0][420/14820], lr: 0.00100	Time 0.225 (0.255)	Data 0.000 (0.019)	Loss 3.2342 (3.2893)	Prec@1 12.500 (7.720)	Prec@5 25.000 (22.150)
Epoch: [0][440/14820], lr: 0.00100	Time 0.228 (0.254)	Data 0.000 (0.018)	Loss 3.3328 (3.2892)	Prec@1 0.000 (7.766)	Prec@5 12.500 (22.080)
Epoch: [0][460/14820], lr: 0.00100	Time 0.220 (0.253)	Data 0.000 (0.017)	Loss 3.3527 (3.2890)	Prec@1 0.000 (7.674)	Prec@5 25.000 (22.153)
Epoch: [0][480/14820], lr: 0.00100	Time 0.222 (0.251)	Data 0.000 (0.016)	Loss 3.3326 (3.2898)	Prec@1 0.000 (7.562)	Prec@5 0.000 (21.881)
Epoch: [0][500/14820], lr: 0.00100	Time 0.226 (0.250)	Data 0.000 (0.016)	Loss 3.3190 (3.2898)	Prec@1 0.000 (7.560)	Prec@5 25.000 (21.856)
Epoch: [0][520/14820], lr: 0.00100	Time 0.220 (0.250)	Data 0.000 (0.015)	Loss 3.2834 (3.2896)	Prec@1 0.000 (7.606)	Prec@5 37.500 (21.857)
Epoch: [0][540/14820], lr: 0.00100	Time 0.227 (0.249)	Data 0.000 (0.015)	Loss 3.0922 (3.2883)	Prec@1 25.000 (7.763)	Prec@5 37.500 (22.066)
Epoch: [0][560/14820], lr: 0.00100	Time 0.231 (0.248)	Data 0.000 (0.014)	Loss 3.1713 (3.2888)	Prec@1 37.500 (7.799)	Prec@5 50.000 (22.170)
Epoch: [0][580/14820], lr: 0.00100	Time 0.230 (0.247)	Data 0.001 (0.014)	Loss 3.3166 (3.2890)	Prec@1 0.000 (7.745)	Prec@5 25.000 (22.117)
Epoch: [0][600/14820], lr: 0.00100	Time 0.219 (0.246)	Data 0.001 (0.013)	Loss 3.3038 (3.2885)	Prec@1 0.000 (7.820)	Prec@5 12.500 (22.379)
Epoch: [0][620/14820], lr: 0.00100	Time 0.227 (0.246)	Data 0.000 (0.013)	Loss 3.2642 (3.2886)	Prec@1 12.500 (7.810)	Prec@5 25.000 (22.363)
Epoch: [0][640/14820], lr: 0.00100	Time 0.231 (0.245)	Data 0.000 (0.012)	Loss 3.3063 (3.2891)	Prec@1 0.000 (7.742)	Prec@5 0.000 (22.075)
Epoch: [0][660/14820], lr: 0.00100	Time 0.222 (0.244)	Data 0.000 (0.012)	Loss 3.2881 (3.2886)	Prec@1 0.000 (7.791)	Prec@5 25.000 (22.144)
Epoch: [0][680/14820], lr: 0.00100	Time 0.220 (0.244)	Data 0.000 (0.012)	Loss 3.2987 (3.2887)	Prec@1 12.500 (7.783)	Prec@5 25.000 (22.137)
Epoch: [0][700/14820], lr: 0.00100	Time 0.222 (0.243)	Data 0.000 (0.011)	Loss 3.2306 (3.2883)	Prec@1 12.500 (7.828)	Prec@5 25.000 (22.147)
Epoch: [0][720/14820], lr: 0.00100	Time 0.224 (0.243)	Data 0.000 (0.011)	Loss 3.3756 (3.2877)	Prec@1 0.000 (7.958)	Prec@5 0.000 (22.139)
Epoch: [0][740/14820], lr: 0.00100	Time 0.227 (0.242)	Data 0.000 (0.011)	Loss 3.2147 (3.2878)	Prec@1 12.500 (7.962)	Prec@5 37.500 (22.200)
Epoch: [0][760/14820], lr: 0.00100	Time 0.223 (0.242)	Data 0.000 (0.010)	Loss 3.3963 (3.2882)	Prec@1 0.000 (7.950)	Prec@5 12.500 (22.224)
Epoch: [0][780/14820], lr: 0.00100	Time 0.224 (0.241)	Data 0.000 (0.010)	Loss 3.3069 (3.2880)	Prec@1 0.000 (7.923)	Prec@5 25.000 (22.199)
Epoch: [0][800/14820], lr: 0.00100	Time 0.226 (0.241)	Data 0.001 (0.010)	Loss 3.2799 (3.2878)	Prec@1 12.500 (7.959)	Prec@5 37.500 (22.347)
Epoch: [0][820/14820], lr: 0.00100	Time 0.224 (0.240)	Data 0.000 (0.010)	Loss 3.2666 (3.2879)	Prec@1 12.500 (7.917)	Prec@5 50.000 (22.320)
Epoch: [0][840/14820], lr: 0.00100	Time 0.232 (0.240)	Data 0.000 (0.009)	Loss 3.2461 (3.2874)	Prec@1 12.500 (8.011)	Prec@5 37.500 (22.414)
Epoch: [0][860/14820], lr: 0.00100	Time 0.234 (0.240)	Data 0.000 (0.009)	Loss 3.3020 (3.2873)	Prec@1 0.000 (7.999)	Prec@5 25.000 (22.401)
Epoch: [0][880/14820], lr: 0.00100	Time 0.222 (0.239)	Data 0.000 (0.009)	Loss 3.3899 (3.2875)	Prec@1 0.000 (7.974)	Prec@5 12.500 (22.318)
Epoch: [0][900/14820], lr: 0.00100	Time 0.223 (0.239)	Data 0.001 (0.009)	Loss 3.2562 (3.2869)	Prec@1 25.000 (8.033)	Prec@5 37.500 (22.392)
Epoch: [0][920/14820], lr: 0.00100	Time 0.225 (0.239)	Data 0.000 (0.009)	Loss 3.3008 (3.2870)	Prec@1 0.000 (8.008)	Prec@5 50.000 (22.394)
Epoch: [0][940/14820], lr: 0.00100	Time 0.224 (0.239)	Data 0.000 (0.008)	Loss 3.3286 (3.2872)	Prec@1 0.000 (7.930)	Prec@5 12.500 (22.330)
Epoch: [0][960/14820], lr: 0.00100	Time 0.222 (0.238)	Data 0.000 (0.008)	Loss 3.3277 (3.2870)	Prec@1 0.000 (7.960)	Prec@5 12.500 (22.347)
